category,question,answer,source_type,source,disclaimer,last_updated
Clubs,Where can I find CSE Club online?,The user-provided Instagram page for CSE Club is https://www.instagram.com/cse.club/.,Club social page — user-provided,Instagram: CSE Club,Social-media page; club activity and links can change.,
Clubs,Where can I find ETIC Club online?,The user-provided Instagram page for ETIC Club is https://www.instagram.com/etic_club/.,Club social page — user-provided,Instagram: ETIC Club,Social-media page; club activity and links can change.,
ESI,Where can I find ESI Algiers on Instagram?,The user-provided Instagram page for ESI Algiers is https://www.instagram.com/esialgiers/.,Official/social page — user-provided,Instagram: ESI Algiers,Social-media page supplied by the user.,
Statistics,How many places were opened for the 2CP concours?,The concours sheet states that 310 places were opened for access to 1CS.,Official ESI administration data (2026),"ESI internal document: Classement_Concours_2025-2026_VP.xlsx (Délibérations 2CP, 23 June 2026)",Figures computed from official 2CP concours/affectation administration sheets for the 2025-2026 cohort. No individual student data is included or should ever be shared by the assistant. These numbers apply only to this specific cohort/year and will change in future years - verify against the current year's official sheet before relying on them for a new admissions cycle.,2026 (2025-2026 academic year cohort)
Statistics,How many candidates were admitted in the 2025–2026 2CP concours?,The final concours sheet contains 297 admitted candidates: 248 admitted on title and 49 admitted through the examination route.,Official ESI administration data (2026),"ESI internal document: Classement_Concours_2025-2026_VP.xlsx (Délibérations 2CP, 23 June 2026)",Figures computed from official 2CP concours/affectation administration sheets for the 2025-2026 cohort. No individual student data is included or should ever be shared by the assistant. These numbers apply only to this specific cohort/year and will change in future years - verify against the current year's official sheet before relying on them for a new admissions cycle.,2026 (2025-2026 academic year cohort)
Statistics,How many candidates were admitted on title in the 2025–2026 2CP concours?,248 candidates were admitted on title.,Official ESI administration data (2026),"ESI internal document: Classement_Concours_2025-2026_VP.xlsx (Délibérations 2CP, 23 June 2026)",Figures computed from official 2CP concours/affectation administration sheets for the 2025-2026 cohort. No individual student data is included or should ever be shared by the assistant. These numbers apply only to this specific cohort/year and will change in future years - verify against the current year's official sheet before relying on them for a new admissions cycle.,2026 (2025-2026 academic year cohort)
Statistics,How many candidates were admitted through the examination route in the 2025–2026 2CP concours?,49 candidates were admitted through the examination route.,Official ESI administration data (2026),"ESI internal document: Classement_Concours_2025-2026_VP.xlsx (Délibérations 2CP, 23 June 2026)",Figures computed from official 2CP concours/affectation administration sheets for the 2025-2026 cohort. No individual student data is included or should ever be shared by the assistant. These numbers apply only to this specific cohort/year and will change in future years - verify against the current year's official sheet before relying on them for a new admissions cycle.,2026 (2025-2026 academic year cohort)
Statistics,How many places remained after the 2025–2026 2CP concours?,"Based on the sheet's 310 available places and 297 admissions, 13 places were not filled by the listed admissions.",Official ESI administration data (2026),"ESI internal document: Classement_Concours_2025-2026_VP.xlsx (Délibérations 2CP, 23 June 2026)",Figures computed from official 2CP concours/affectation administration sheets for the 2025-2026 cohort. No individual student data is included or should ever be shared by the assistant. These numbers apply only to this specific cohort/year and will change in future years - verify against the current year's official sheet before relying on them for a new admissions cycle.,2026 (2025-2026 academic year cohort)
Statistics,What was the average concours score in the 2025–2026 2CP concours?,The arithmetic mean of the listed concours averages was 12.54/20.,Official ESI administration data (2026),"ESI internal document: Classement_Concours_2025-2026_VP.xlsx (Délibérations 2CP, 23 June 2026)",Figures computed from official 2CP concours/affectation administration sheets for the 2025-2026 cohort. No individual student data is included or should ever be shared by the assistant. These numbers apply only to this specific cohort/year and will change in future years - verify against the current year's official sheet before relying on them for a new admissions cycle.,2026 (2025-2026 academic year cohort)
Statistics,What was the median concours score in the 2025–2026 2CP concours?,The median of the listed concours averages was 12.36/20.,Official ESI administration data (2026),"ESI internal document: Classement_Concours_2025-2026_VP.xlsx (Délibérations 2CP, 23 June 2026)",Figures computed from official 2CP concours/affectation administration sheets for the 2025-2026 cohort. No individual student data is included or should ever be shared by the assistant. These numbers apply only to this specific cohort/year and will change in future years - verify against the current year's official sheet before relying on them for a new admissions cycle.,2026 (2025-2026 academic year cohort)
Statistics,What was the highest concours score in the 2025–2026 2CP concours?,The highest listed concours average was 17.51/20.,Official ESI administration data (2026),"ESI internal document: Classement_Concours_2025-2026_VP.xlsx (Délibérations 2CP, 23 June 2026)",Figures computed from official 2CP concours/affectation administration sheets for the 2025-2026 cohort. No individual student data is included or should ever be shared by the assistant. These numbers apply only to this specific cohort/year and will change in future years - verify against the current year's official sheet before relying on them for a new admissions cycle.,2026 (2025-2026 academic year cohort)
Statistics,What was the lowest concours score among the 2025–2026 admitted candidates?,The lowest listed concours average among the admitted candidates was 9.80/20.,Official ESI administration data (2026),"ESI internal document: Classement_Concours_2025-2026_VP.xlsx (Délibérations 2CP, 23 June 2026)",Figures computed from official 2CP concours/affectation administration sheets for the 2025-2026 cohort. No individual student data is included or should ever be shared by the assistant. These numbers apply only to this specific cohort/year and will change in future years - verify against the current year's official sheet before relying on them for a new admissions cycle.,2026 (2025-2026 academic year cohort)
Statistics,What was the average score of candidates admitted on title?,The arithmetic mean for candidates marked 'Admis sur Titre' was 12.94/20.,Official ESI administration data (2026),ESI internal document: Affectation_Spécialité_2026_Final.xlsx,Figures computed from official 2CP concours/affectation administration sheets for the 2025-2026 cohort. No individual student data is included or should ever be shared by the assistant. These numbers apply only to this specific cohort/year and will change in future years - verify against the current year's official sheet before relying on them for a new admissions cycle.,2026 (2025-2026 academic year cohort)
Statistics,What was the average score of candidates admitted through the examination route?,The arithmetic mean for candidates marked 'Admis sur epreuve' was 10.50/20.,Official ESI administration data (2026),ESI internal document: Affectation_Spécialité_2026_Final.xlsx,Figures computed from official 2CP concours/affectation administration sheets for the 2025-2026 cohort. No individual student data is included or should ever be shared by the assistant. These numbers apply only to this specific cohort/year and will change in future years - verify against the current year's official sheet before relying on them for a new admissions cycle.,2026 (2025-2026 academic year cohort)
Statistics,How many students were affected to each ESI specialization group in 2026?,"The affectation sheet lists: SID1 = 26, SID2 = 26, SIQ1 = 26, SIQ2 = 26, SIT1 = 31, SIT2 = 28, SIT3 = 32, SIL1 = 32, and SIL2 = 31, for a total of 258 affectations.",Official ESI administration data (2026),ESI internal document: Affectation_Spécialité_2026_Final.xlsx,Figures computed from official 2CP concours/affectation administration sheets for the 2025-2026 cohort. No individual student data is included or should ever be shared by the assistant. These numbers apply only to this specific cohort/year and will change in future years - verify against the current year's official sheet before relying on them for a new admissions cycle.,2026 (2025-2026 academic year cohort)
Statistics,What was the average annual ranking of the students included in the 2026 specialization affectation sheet?,"The average ranking was 129.24, with a median ranking of 129.5, across 258 listed affectations.",Official ESI administration data (2026),ESI internal document: Affectation_Spécialité_2026_Final.xlsx,Figures computed from official 2CP concours/affectation administration sheets for the 2025-2026 cohort. No individual student data is included or should ever be shared by the assistant. These numbers apply only to this specific cohort/year and will change in future years - verify against the current year's official sheet before relying on them for a new admissions cycle.,2026 (2025-2026 academic year cohort)
Statistics,How many students received their first-choice specialization in the 2026 affectation?,"113 of 258 listed affectations matched the first choice, which is 43.8% of the affectations.",Official ESI administration data (2026),ESI internal document: Affectation_Spécialité_2026_Final.xlsx,Figures computed from official 2CP concours/affectation administration sheets for the 2025-2026 cohort. No individual student data is included or should ever be shared by the assistant. These numbers apply only to this specific cohort/year and will change in future years - verify against the current year's official sheet before relying on them for a new admissions cycle.,2026 (2025-2026 academic year cohort)
Statistics,Which specialization groups had the largest number of affectations in 2026?,"SIT3 and SIL1 had the largest listed group sizes, with 32 affectations each.",Official ESI administration data (2026),ESI internal document: Affectation_Spécialité_2026_Final.xlsx,Figures computed from official 2CP concours/affectation administration sheets for the 2025-2026 cohort. No individual student data is included or should ever be shared by the assistant. These numbers apply only to this specific cohort/year and will change in future years - verify against the current year's official sheet before relying on them for a new admissions cycle.,2026 (2025-2026 academic year cohort)
Statistics,Which specialization groups had the smallest number of affectations in 2026?,"SID1, SID2, SIQ1, and SIQ2 each had 26 listed affectations.",Official ESI administration data (2026),ESI internal document: Affectation_Spécialité_2026_Final.xlsx,Figures computed from official 2CP concours/affectation administration sheets for the 2025-2026 cohort. No individual student data is included or should ever be shared by the assistant. These numbers apply only to this specific cohort/year and will change in future years - verify against the current year's official sheet before relying on them for a new admissions cycle.,2026 (2025-2026 academic year cohort)
Statistics,What was the observed ranking range for SID1 in the 2026 specialization affectation?,The listed annual rankings for SID1 ranged from 1 to 67; the average ranking was 39.12.,Official ESI administration data (2026),ESI internal document: Affectation_Spécialité_2026_Final.xlsx,Figures computed from official 2CP concours/affectation administration sheets for the 2025-2026 cohort. No individual student data is included or should ever be shared by the assistant. These numbers apply only to this specific cohort/year and will change in future years - verify against the current year's official sheet before relying on them for a new admissions cycle.,2026 (2025-2026 academic year cohort)
Statistics,How many students got their first choice in SID1 in the 2026 affectation?,25 of 26 affectations in SID1 matched the first choice (96.2%).,Official ESI administration data (2026),ESI internal document: Affectation_Spécialité_2026_Final.xlsx,Figures computed from official 2CP concours/affectation administration sheets for the 2025-2026 cohort. No individual student data is included or should ever be shared by the assistant. These numbers apply only to this specific cohort/year and will change in future years - verify against the current year's official sheet before relying on them for a new admissions cycle.,2026 (2025-2026 academic year cohort)
Statistics,What was the observed ranking range for SID2 in the 2026 specialization affectation?,The listed annual rankings for SID2 ranged from 15 to 113; the average ranking was 89.23.,Official ESI administration data (2026),ESI internal document: Affectation_Spécialité_2026_Final.xlsx,Figures computed from official 2CP concours/affectation administration sheets for the 2025-2026 cohort. No individual student data is included or should ever be shared by the assistant. These numbers apply only to this specific cohort/year and will change in future years - verify against the current year's official sheet before relying on them for a new admissions cycle.,2026 (2025-2026 academic year cohort)
Statistics,How many students got their first choice in SID2 in the 2026 affectation?,5 of 26 affectations in SID2 matched the first choice (19.2%).,Official ESI administration data (2026),ESI internal document: Affectation_Spécialité_2026_Final.xlsx,Figures computed from official 2CP concours/affectation administration sheets for the 2025-2026 cohort. No individual student data is included or should ever be shared by the assistant. These numbers apply only to this specific cohort/year and will change in future years - verify against the current year's official sheet before relying on them for a new admissions cycle.,2026 (2025-2026 academic year cohort)
Statistics,What was the observed ranking range for SIL1 in the 2026 specialization affectation?,The listed annual rankings for SIL1 ranged from 67 to 186; the average ranking was 145.75.,Official ESI administration data (2026),ESI internal document: Affectation_Spécialité_2026_Final.xlsx,Figures computed from official 2CP concours/affectation administration sheets for the 2025-2026 cohort. No individual student data is included or should ever be shared by the assistant. These numbers apply only to this specific cohort/year and will change in future years - verify against the current year's official sheet before relying on them for a new admissions cycle.,2026 (2025-2026 academic year cohort)
Statistics,How many students got their first choice in SIL1 in the 2026 affectation?,7 of 32 affectations in SIL1 matched the first choice (21.9%).,Official ESI administration data (2026),ESI internal document: Affectation_Spécialité_2026_Final.xlsx,Figures computed from official 2CP concours/affectation administration sheets for the 2025-2026 cohort. No individual student data is included or should ever be shared by the assistant. These numbers apply only to this specific cohort/year and will change in future years - verify against the current year's official sheet before relying on them for a new admissions cycle.,2026 (2025-2026 academic year cohort)
Statistics,What was the observed ranking range for SIL2 in the 2026 specialization affectation?,The listed annual rankings for SIL2 ranged from 154 to 246; the average ranking was 212.42.,Official ESI administration data (2026),ESI internal document: Affectation_Spécialité_2026_Final.xlsx,Figures computed from official 2CP concours/affectation administration sheets for the 2025-2026 cohort. No individual student data is included or should ever be shared by the assistant. These numbers apply only to this specific cohort/year and will change in future years - verify against the current year's official sheet before relying on them for a new admissions cycle.,2026 (2025-2026 academic year cohort)
Statistics,How many students got their first choice in SIL2 in the 2026 affectation?,4 of 31 affectations in SIL2 matched the first choice (12.9%).,Official ESI administration data (2026),ESI internal document: Affectation_Spécialité_2026_Final.xlsx,Figures computed from official 2CP concours/affectation administration sheets for the 2025-2026 cohort. No individual student data is included or should ever be shared by the assistant. These numbers apply only to this specific cohort/year and will change in future years - verify against the current year's official sheet before relying on them for a new admissions cycle.,2026 (2025-2026 academic year cohort)
Statistics,What was the observed ranking range for SIQ1 in the 2026 specialization affectation?,The listed annual rankings for SIQ1 ranged from 2 to 47; the average ranking was 20.08.,Official ESI administration data (2026),ESI internal document: Affectation_Spécialité_2026_Final.xlsx,Figures computed from official 2CP concours/affectation administration sheets for the 2025-2026 cohort. No individual student data is included or should ever be shared by the assistant. These numbers apply only to this specific cohort/year and will change in future years - verify against the current year's official sheet before relying on them for a new admissions cycle.,2026 (2025-2026 academic year cohort)
Statistics,How many students got their first choice in SIQ1 in the 2026 affectation?,26 of 26 affectations in SIQ1 matched the first choice (100.0%).,Official ESI administration data (2026),ESI internal document: Affectation_Spécialité_2026_Final.xlsx,Figures computed from official 2CP concours/affectation administration sheets for the 2025-2026 cohort. No individual student data is included or should ever be shared by the assistant. These numbers apply only to this specific cohort/year and will change in future years - verify against the current year's official sheet before relying on them for a new admissions cycle.,2026 (2025-2026 academic year cohort)
Statistics,What was the observed ranking range for SIQ2 in the 2026 specialization affectation?,The listed annual rankings for SIQ2 ranged from 21 to 118; the average ranking was 78.46.,Official ESI administration data (2026),ESI internal document: Affectation_Spécialité_2026_Final.xlsx,Figures computed from official 2CP concours/affectation administration sheets for the 2025-2026 cohort. No individual student data is included or should ever be shared by the assistant. These numbers apply only to this specific cohort/year and will change in future years - verify against the current year's official sheet before relying on them for a new admissions cycle.,2026 (2025-2026 academic year cohort)
Statistics,How many students got their first choice in SIQ2 in the 2026 affectation?,4 of 26 affectations in SIQ2 matched the first choice (15.4%).,Official ESI administration data (2026),ESI internal document: Affectation_Spécialité_2026_Final.xlsx,Figures computed from official 2CP concours/affectation administration sheets for the 2025-2026 cohort. No individual student data is included or should ever be shared by the assistant. These numbers apply only to this specific cohort/year and will change in future years - verify against the current year's official sheet before relying on them for a new admissions cycle.,2026 (2025-2026 academic year cohort)
Statistics,What was the observed ranking range for SIT1 in the 2026 specialization affectation?,The listed annual rankings for SIT1 ranged from 34 to 250; the average ranking was 170.77.,Official ESI administration data (2026),ESI internal document: Affectation_Spécialité_2026_Final.xlsx,Figures computed from official 2CP concours/affectation administration sheets for the 2025-2026 cohort. No individual student data is included or should ever be shared by the assistant. These numbers apply only to this specific cohort/year and will change in future years - verify against the current year's official sheet before relying on them for a new admissions cycle.,2026 (2025-2026 academic year cohort)
Statistics,How many students got their first choice in SIT1 in the 2026 affectation?,10 of 31 affectations in SIT1 matched the first choice (32.3%).,Official ESI administration data (2026),ESI internal document: Affectation_Spécialité_2026_Final.xlsx,Figures computed from official 2CP concours/affectation administration sheets for the 2025-2026 cohort. No individual student data is included or should ever be shared by the assistant. These numbers apply only to this specific cohort/year and will change in future years - verify against the current year's official sheet before relying on them for a new admissions cycle.,2026 (2025-2026 academic year cohort)
Statistics,What was the observed ranking range for SIT2 in the 2026 specialization affectation?,The listed annual rankings for SIT2 ranged from 137 to 258; the average ranking was 223.57.,Official ESI administration data (2026),ESI internal document: Affectation_Spécialité_2026_Final.xlsx,Figures computed from official 2CP concours/affectation administration sheets for the 2025-2026 cohort. No individual student data is included or should ever be shared by the assistant. These numbers apply only to this specific cohort/year and will change in future years - verify against the current year's official sheet before relying on them for a new admissions cycle.,2026 (2025-2026 academic year cohort)
Statistics,How many students got their first choice in SIT2 in the 2026 affectation?,8 of 28 affectations in SIT2 matched the first choice (28.6%).,Official ESI administration data (2026),ESI internal document: Affectation_Spécialité_2026_Final.xlsx,Figures computed from official 2CP concours/affectation administration sheets for the 2025-2026 cohort. No individual student data is included or should ever be shared by the assistant. These numbers apply only to this specific cohort/year and will change in future years - verify against the current year's official sheet before relying on them for a new admissions cycle.,2026 (2025-2026 academic year cohort)
Statistics,What was the observed ranking range for SIT3 in the 2026 specialization affectation?,The listed annual rankings for SIT3 ranged from 51 to 195; the average ranking was 145.09.,Official ESI administration data (2026),ESI internal document: Affectation_Spécialité_2026_Final.xlsx,Figures computed from official 2CP concours/affectation administration sheets for the 2025-2026 cohort. No individual student data is included or should ever be shared by the assistant. These numbers apply only to this specific cohort/year and will change in future years - verify against the current year's official sheet before relying on them for a new admissions cycle.,2026 (2025-2026 academic year cohort)
Statistics,How many students got their first choice in SIT3 in the 2026 affectation?,24 of 32 affectations in SIT3 matched the first choice (75.0%).,Official ESI administration data (2026),ESI internal document: Affectation_Spécialité_2026_Final.xlsx,Figures computed from official 2CP concours/affectation administration sheets for the 2025-2026 cohort. No individual student data is included or should ever be shared by the assistant. These numbers apply only to this specific cohort/year and will change in future years - verify against the current year's official sheet before relying on them for a new admissions cycle.,2026 (2025-2026 academic year cohort)
ESI Community,Where can I find Sarah Laslouni's Instagram account?,Sarah Laslouni's Instagram account is https://www.instagram.com/sarah_laslouni/.,ESI content creator — not official,Instagram account supplied by user,Community/content-creator account; not an official ESI source.,
ESI Community,Where can I find Boukeha Mohamed Akram's Instagram account?,Boukeha Mohamed Akram's Instagram account is https://www.instagram.com/boukeha_mohamed_akram/.,ESI content creator — not official,Instagram account supplied by user,Community/content-creator account; not an official ESI source.,
